WorkClass,Education,MaritalStatus,Occupation,Salary,LessThen_50
State-gov,Bachelors,Never-married,Adm-clerical,<=50K,1
Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,<=50K,1
Private,HS-grad,Divorced,Handlers-cleaners,<=50K,1
Private,11th,Married-civ-spouse,Handlers-cleaners,<=50K,1
Private,Bachelors,Married-civ-spouse,Prof-specialty,<=50K,1
Private,Masters,Married-civ-spouse,Exec-managerial,<=50K,1
Private,9th,Married-spouse-absent,Other-service,<=50K,1
Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,>50K,0
Private,Masters,Never-married,Prof-specialty,>50K,0
Private,Bachelors,Married-civ-spouse,Exec-managerial,>50K,0
Private,Some-college,Married-civ-spouse,Exec-managerial,>50K,0
State-gov,Bachelors,Married-civ-spouse,Prof-specialty,>50K,0
Private,Bachelors,Never-married,Adm-clerical,<=50K,1
Private,Assoc-acdm,Never-married,Sales,<=50K,1
Private,Assoc-voc,Married-civ-spouse,Craft-repair,>50K,0
Private,7th-8th,Married-civ-spouse,Transport-moving,<=50K,1
Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,<=50K,1
Private,HS-grad,Never-married,Machine-op-inspct,<=50K,1
Private,11th,Married-civ-spouse,Sales,<=50K,1
Self-emp-not-inc,Masters,Divorced,Exec-managerial,>50K,0
Private,Doctorate,Married-civ-spouse,Prof-specialty,>50K,0
Private,HS-grad,Separated,Other-service,<=50K,1
Federal-gov,9th,Married-civ-spouse,Farming-fishing,<=50K,1
Private,11th,Married-civ-spouse,Transport-moving,<=50K,1
Private,HS-grad,Divorced,Tech-support,<=50K,1
Local-gov,Bachelors,Married-civ-spouse,Tech-support,>50K,0
Private,HS-grad,Never-married,Craft-repair,<=50K,1
?,Some-college,Married-civ-spouse,?,>50K,0
Private,HS-grad,Divorced,Exec-managerial,<=50K,1
Private,HS-grad,Married-civ-spouse,Craft-repair,<=50K,1
Local-gov,Assoc-acdm,Never-married,Protective-serv,<=50K,1
Private,Some-college,Never-married,Sales,<=50K,1
